"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",13.448567435,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2019",15.311653117,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2020",10.533333333,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2021",10.470245305,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2022",9.875,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2018",14.876690892,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2019",14.011740808,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2020",12.381539673,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2021",12.157208488,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2018",3.4087569791,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2019",3.798185941,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2020",1.1731843575,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2018",18.443223443,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2019",18.646457526,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2020",17.572905286,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2021",16.666666667,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2022",17.142857143,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2018",15.127413864,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2019",14.714332257,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2020",12.372862094,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2021",11.518748314,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2022",13.575712144,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2018",4.8632060095,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2019",5.0592156283,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2020",4.994399736,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2021",5.576082633,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2018",18.855203722,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2019",17.159829635,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2020",15.978604956,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2021",15.340786928,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2018",11.823802164,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2019",12.07541465,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2020",11.765092584,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2021",11.558211206,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2018",15.444390481,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2019",13.987217306,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2020",14.202617547,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2021",13.6593480233443,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2018",5.9090909091,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2019",5.9090909091,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2020",7.9545454545,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2021",6.93181818182884,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2018",5.0632142857,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2019",12.753673197,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2020",12.350016442,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2021",13.076614108,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2018",12.901247189,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2019",13.2751963828841,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2020",11.4054504134638,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2021",9.72267904098551,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2018",8.2840236686,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2019",7.91747394875044,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2020",7.25768445302124,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2021",7.25768445302124,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2018",5.7080610022,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2019",5.5511613457,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2020",4.7698327534,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2021",5.67837232554993,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2018",23.537368955,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2019",23.480013436,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2020",22.518568535,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2021",22.113766409,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2022",21.347941567,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2018",34.107310951,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2019",32.480444715,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2020",31.48475223,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2021",31.064839435,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2022",31.242084275,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2018",14,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2021",12.5,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2022",16.666666667,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2018",12.657091562,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2019",13.398029651,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2020",13.329084582,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2021",13.230825443,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2018",7.8696925329,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2019",6.5084501978,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2020",4.5814674475,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2021",6.6666666667,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2022",9.2382495948,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2018",5.1293690422,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2019",4.3678665496,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2020",4.8138639281,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2021",4.6014790468,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2022",4.4814594487,
"POL","WAGEGAP","EMPLOYEE","PC","A","2018",11.497909952,
