DATAFLOW,LAST UPDATE,freq,nace_r2,indic_em,sex,isco08,worktime,age,indic_se,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,AT,2010,46.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,AT,2014,44.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,AT,2018,44.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,BE,2010,35.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,BE,2014,31.1,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,BE,2018,26.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,BG,2010,23.9,b
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,BG,2014,22.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,BG,2018,24.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CH,2010,45.7,b
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CH,2014,44.5,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CH,2018,43.1,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CY,2010,33.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CY,2014,26.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CY,2018,25.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CZ,2010,41.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CZ,2014,40.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,CZ,2018,36.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,DE,2010,45.4,b
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,DE,2014,45.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,DE,2018,41.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,DK,2010,25.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,DK,2014,26.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,DK,2018,25.1,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EE,2010,30.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EE,2014,37.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EE,2018,31.1,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EL,2010,45.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EL,2014,42.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EL,2018,41.3,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,ES,2010,38.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,ES,2014,35.7,
